Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - switch (var_expectedResult.toString()),Chrome 67.0.3396.87,Check expected results,2018-06-20 23:48:11,2018-06-20 23:48:11,0.048s,PASSED
closeBrowser,Chrome 67.0.3396.87,(This can be added to a clear down function),2018-06-20 23:48:11,2018-06-20 23:48:12,0.805s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Chrome 67.0.3396.87,,2018-06-20 23:48:12,2018-06-20 23:48:21,8.643s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:12,2018-06-20 23:48:12,0.001s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:12,2018-06-20 23:48:12,0.001s,PASSED
openBrowser,Chrome 67.0.3396.87,(This can be added to a setup function),2018-06-20 23:48:12,2018-06-20 23:48:14,2.078s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 23:48:14,2018-06-20 23:48:16,1.737s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:16,2018-06-20 23:48:16,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,Call 'Login' test case,2018-06-20 23:48:16,2018-06-20 23:48:20,4.039s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:20,2018-06-20 23:48:20,0.001s,PASSED
Statement - switch (var_expectedResult.toString()),Chrome 67.0.3396.87,Check expected results,2018-06-20 23:48:20,2018-06-20 23:48:20,0.042s,PASSED
closeBrowser,Chrome 67.0.3396.87,(This can be added to a clear down function),2018-06-20 23:48:20,2018-06-20 23:48:21,0.724s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC3_Verify Completion of Standard Application,Chrome 67.0.3396.87,,2018-06-20 23:48:21,2018-06-20 23:49:27,1m - 6.538s,FAILED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:21,2018-06-20 23:48:21,0.003s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:21,2018-06-20 23:48:21,0.005s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-20 23:48:21,2018-06-20 23:48:23,1.959s,PASSED
maximizeWindow,Chrome 67.0.3396.87,,2018-06-20 23:48:23,2018-06-20 23:48:24,1.144s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 23:48:24,2018-06-20 23:48:26,1.711s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:26,2018-06-20 23:48:26,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:26,2018-06-20 23:48:29,3.271s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:29,2018-06-20 23:48:29,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:29,2018-06-20 23:48:36,7.141s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:36,2018-06-20 23:48:36,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:36,2018-06-20 23:48:37,0.378s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.001s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.030s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,Requires fix (Bug with multiple toasts),2018-06-20 23:48:37,2018-06-20 23:48:37,0.001s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.001s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.040s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.032s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.031s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.035s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:37,0.001s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:37,2018-06-20 23:48:39,1.537s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:39,2018-06-20 23:48:39,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:39,2018-06-20 23:48:40,1.807s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:40,2018-06-20 23:48:41,0.469s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:41,2018-06-20 23:48:41,0.001s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:41,2018-06-20 23:48:43,2.615s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:43,2018-06-20 23:48:43,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,Requires fix,2018-06-20 23:48:43,2018-06-20 23:48:43,0.001s,NOT_RUN
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:43,2018-06-20 23:48:47,3.140s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:47,2018-06-20 23:48:47,0.001s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:47,2018-06-20 23:48:49,2.704s,PASSED
callTestCase,Chrome 67.0.3396.87,Requires fix / investigation (Bug with style loss),2018-06-20 23:48:49,2018-06-20 23:48:50,0.317s,PASSED
callTestCase,Chrome 67.0.3396.87,Temp Disable,2018-06-20 23:48:50,2018-06-20 23:48:50,0.000s,NOT_RUN
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:50,2018-06-20 23:48:50,0.001s,NOT_RUN
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:50,2018-06-20 23:48:50,0.001s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:50,2018-06-20 23:48:50,0.001s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:50,2018-06-20 23:48:52,2.462s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:52,2018-06-20 23:48:52,0.001s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:52,2018-06-20 23:48:52,0.000s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:52,2018-06-20 23:48:52,0.042s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:52,2018-06-20 23:48:52,0.001s,NOT_RUN
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:52,2018-06-20 23:48:53,0.485s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:53,2018-06-20 23:48:53,0.505s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:53,2018-06-20 23:48:54,0.508s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:54,2018-06-20 23:48:54,0.233s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:54,2018-06-20 23:48:54,0.248s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:48:54,2018-06-20 23:48:54,0.380s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:54,2018-06-20 23:48:54,0.001s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:54,2018-06-20 23:48:56,1.950s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:56,2018-06-20 23:48:56,0.001s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:56,2018-06-20 23:48:56,0.001s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:56,2018-06-20 23:48:56,0.035s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:56,2018-06-20 23:48:56,0.000s,NOT_RUN
setText,Chrome 67.0.3396.87,Form item ID gets passed in for this object,2018-06-20 23:48:56,2018-06-20 23:48:56,0.001s,NOT_RUN
setText,Chrome 67.0.3396.87,Form item ID gets passed in for this object,2018-06-20 23:48:56,2018-06-20 23:48:56,0.001s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:56,2018-06-20 23:48:56,0.000s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:56,2018-06-20 23:48:58,1.694s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:58,2018-06-20 23:48:58,0.001s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:58,2018-06-20 23:48:58,0.047s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:48:58,2018-06-20 23:48:58,0.001s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:58,2018-06-20 23:48:58,0.000s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:48:58,2018-06-20 23:49:00,1.808s,PASSED
comment,Chrome 67.0.3396.87,This will be removed after fixing project activities,2018-06-20 23:49:00,2018-06-20 23:49:00,0.001s,NOT_RUN
click,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.000s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.001s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.000s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.001s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.024s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.030s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,Submit button is present and enabled,2018-06-20 23:49:00,2018-06-20 23:49:00,0.023s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.139s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:49:00,2018-06-20 23:49:00,0.110s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,Check 'Submitted' text is present,2018-06-20 23:49:00,2018-06-20 23:49:00,0.027s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,Application has successfully been submitted,2018-06-20 23:49:00,2018-06-20 23:49:27,26.924s,FAILED
