Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Demo,Chrome 67.0.3396.87,,2018-06-20 23:47:55,2018-06-20 23:49:28,1m - 33.468s,FAILED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Chrome 67.0.3396.87,,2018-06-20 23:47:55,2018-06-20 23:48:04,9.481s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:47:56,2018-06-20 23:47:56,0.155s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:47:56,2018-06-20 23:47:56,0.002s,PASSED
openBrowser,Chrome 67.0.3396.87,(This can be added to a setup function),2018-06-20 23:47:56,2018-06-20 23:47:59,3.208s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 23:47:59,2018-06-20 23:48:01,1.881s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:01,2018-06-20 23:48:01,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,Call 'Login' test case,2018-06-20 23:48:01,2018-06-20 23:48:04,2.864s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:04,2018-06-20 23:48:04,0.001s,PASSED
Statement - switch (var_expectedResult.toString()),Chrome 67.0.3396.87,Check expected results,2018-06-20 23:48:04,2018-06-20 23:48:04,0.083s,PASSED
closeBrowser,Chrome 67.0.3396.87,(This can be added to a clear down function),2018-06-20 23:48:04,2018-06-20 23:48:04,0.723s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Chrome 67.0.3396.87,,2018-06-20 23:48:04,2018-06-20 23:48:12,7.643s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:05,2018-06-20 23:48:05,0.019s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:05,2018-06-20 23:48:05,0.004s,PASSED
openBrowser,Chrome 67.0.3396.87,(This can be added to a setup function),2018-06-20 23:48:05,2018-06-20 23:48:07,2.060s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 23:48:07,2018-06-20 23:48:08,1.750s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:08,2018-06-20 23:48:08,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,Call 'Login' test case,2018-06-20 23:48:08,2018-06-20 23:48:11,2.895s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:48:11,2018-06-20 23:48:11,0.001s,PASSED
