Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Demo,Chrome 67.0.3396.87,,2018-06-21 15:17:33,2018-06-21 15:18:00,27.226s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Chrome 67.0.3396.87,,2018-06-21 15:17:33,2018-06-21 15:17:44,10.595s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:34,2018-06-21 15:17:34,0.074s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:34,2018-06-21 15:17:34,0.019s,PASSED
openBrowser,Chrome 67.0.3396.87,(This can be added to a setup function),2018-06-21 15:17:34,2018-06-21 15:17:37,3.188s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-21 15:17:37,2018-06-21 15:17:40,2.444s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:40,2018-06-21 15:17:40,0.003s,PASSED
callTestCase,Chrome 67.0.3396.87,Call 'Login' test case,2018-06-21 15:17:40,2018-06-21 15:17:43,3.446s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:43,2018-06-21 15:17:43,0.000s,PASSED
Statement - switch (var_expectedResult.toString()),Chrome 67.0.3396.87,Check expected results,2018-06-21 15:17:43,2018-06-21 15:17:43,0.089s,PASSED
closeBrowser,Chrome 67.0.3396.87,(This can be added to a clear down function),2018-06-21 15:17:43,2018-06-21 15:17:44,0.781s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Chrome 67.0.3396.87,,2018-06-21 15:17:44,2018-06-21 15:17:52,7.947s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:44,2018-06-21 15:17:44,0.003s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:44,2018-06-21 15:17:44,0.002s,PASSED
openBrowser,Chrome 67.0.3396.87,(This can be added to a setup function),2018-06-21 15:17:44,2018-06-21 15:17:46,1.997s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-21 15:17:46,2018-06-21 15:17:48,1.950s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:48,2018-06-21 15:17:48,0.003s,PASSED
callTestCase,Chrome 67.0.3396.87,Call 'Login' test case,2018-06-21 15:17:48,2018-06-21 15:17:51,3.123s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:51,2018-06-21 15:17:51,0.000s,PASSED
Statement - switch (var_expectedResult.toString()),Chrome 67.0.3396.87,Check expected results,2018-06-21 15:17:51,2018-06-21 15:17:51,0.049s,PASSED
closeBrowser,Chrome 67.0.3396.87,(This can be added to a clear down function),2018-06-21 15:17:51,2018-06-21 15:17:52,0.789s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Chrome 67.0.3396.87,,2018-06-21 15:17:52,2018-06-21 15:18:00,8.134s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:52,2018-06-21 15:17:52,0.002s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:52,2018-06-21 15:17:52,0.001s,PASSED
openBrowser,Chrome 67.0.3396.87,(This can be added to a setup function),2018-06-21 15:17:52,2018-06-21 15:17:54,2.029s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-21 15:17:54,2018-06-21 15:17:56,1.897s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:56,2018-06-21 15:17:56,0.000s,PASSED
callTestCase,Chrome 67.0.3396.87,Call 'Login' test case,2018-06-21 15:17:56,2018-06-21 15:17:59,3.417s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-21 15:17:59,2018-06-21 15:17:59,0.001s,PASSED
Statement - switch (var_expectedResult.toString()),Chrome 67.0.3396.87,Check expected results,2018-06-21 15:17:59,2018-06-21 15:17:59,0.047s,PASSED
closeBrowser,Chrome 67.0.3396.87,(This can be added to a clear down function),2018-06-21 15:17:59,2018-06-21 15:18:00,0.723s,PASSED
