Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Demo,Chrome 67.0.3396.87,,2018-06-20 23:50:45,2018-06-20 23:51:13,28.299s,FAILED
,,,,,,
Test Cases/Test Cases - Portal/TC3_Verify Completion of Standard Application,Chrome 67.0.3396.87,,2018-06-20 23:50:45,2018-06-20 23:51:12,27.163s,FAILED
comment,Chrome 67.0.3396.87,,2018-06-20 23:50:46,2018-06-20 23:50:46,0.048s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:50:46,2018-06-20 23:50:46,0.002s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-20 23:50:46,2018-06-20 23:50:49,2.915s,PASSED
maximizeWindow,Chrome 67.0.3396.87,,2018-06-20 23:50:49,2018-06-20 23:50:50,1.158s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 23:50:50,2018-06-20 23:50:52,1.725s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:50:52,2018-06-20 23:50:52,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:50:52,2018-06-20 23:50:54,2.720s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:50:54,2018-06-20 23:50:54,0.002s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:50:54,2018-06-20 23:51:02,7.902s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:02,2018-06-20 23:51:02,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:51:02,2018-06-20 23:51:03,0.380s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.001s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.033s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,Requires fix (Bug with multiple toasts),2018-06-20 23:51:03,2018-06-20 23:51:03,0.002s,NOT_RUN
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.002s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.026s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.027s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.030s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.027s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:03,0.000s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:51:03,2018-06-20 23:51:05,1.983s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:05,2018-06-20 23:51:05,0.000s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:51:05,2018-06-20 23:51:07,2.185s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:51:07,2018-06-20 23:51:08,0.562s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:08,2018-06-20 23:51:08,0.002s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 23:51:08,2018-06-20 23:51:10,2.977s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-20 23:51:10,2018-06-20 23:51:10,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,Requires fix,2018-06-20 23:51:10,2018-06-20 23:51:10,0.001s,NOT_RUN
callTestCase,Chrome 67.0.3396.87,,2018-06-20 23:51:10,2018-06-20 23:51:12,1.985s,FAILED
